,comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
443,Bonnanaro,2022,12,0.0,16.0,0.0,0,True
444,Bono,2022,1,0.0,56.0,0.0,0,True
445,Bono,2022,2,0.0,56.0,0.0,0,True
446,Bono,2022,3,0.0,56.0,0.0,0,True
447,Bono,2022,4,0.0,56.0,0.0,0,True
448,Bono,2022,5,0.0,56.0,0.0,0,True
449,Bono,2022,6,0.0,56.0,0.0,0,True
450,Bono,2022,7,0.0,56.0,0.0,0,True
451,Bono,2022,8,0.0,56.0,0.0,0,True
452,Bono,2022,9,0.0,56.0,0.0,0,True
453,Bono,2022,10,0.0,56.0,0.0,0,True
454,Bono,2022,11,0.0,56.0,0.0,0,True
455,Bono,2022,12,0.0,56.0,0.0,0,True
456,Bonorva,2022,1,0.0,55.0,0.0,0,True
457,Bonorva,2022,2,0.0,55.0,0.0,0,True
458,Bonorva,2022,3,0.0,55.0,0.0,0,True
459,Bonorva,2022,4,0.0,55.0,0.0,0,True
460,Bonorva,2022,5,0.0,55.0,0.0,0,True
461,Bonorva,2022,6,0.0,55.0,0.0,0,True
462,Bonorva,2022,7,0.0,55.0,0.0,0,True
463,Bonorva,2022,8,0.0,55.0,0.0,0,True
464,Bonorva,2022,9,0.0,55.0,0.0,0,True
