comune,anno,mese,densita_turistica,densita_turistica_norm,intensita_turistica_presenze,intensita_turistica_norm,densita_ricettiva,densita_ricettiva_norm,utilizzazione_lorda_pct,utilizzazione_lorda_norm,indice_overtourism,n_indicatori_disponibili
Ales,2022,4,4.59,0.0027,0.0789,0.0026,1.98,0.0097,5.6,0.1891,0.0107,4.0
Ales,2022,5,2.7,0.0016,0.0464,0.0015,1.98,0.0097,5.6,0.1891,0.0081,4.0
Ales,2022,6,4.64,0.0027,0.0797,0.0026,1.98,0.0097,5.6,0.1891,0.0107,4.0
Ales,2022,7,5.63,0.0033,0.0967,0.0032,1.98,0.0097,5.6,0.1891,0.0118,4.0
Ales,2022,8,10.45,0.0061,0.1794,0.0059,1.98,0.0097,5.6,0.1891,0.016,4.0
Ales,2022,9,5.04,0.0029,0.0866,0.0029,1.98,0.0097,5.6,0.1891,0.0111,4.0
Ales,2022,10,3.29,0.0019,0.0565,0.0019,1.98,0.0097,5.6,0.1891,0.009,4.0
Ales,2022,11,1.17,0.0007,0.0201,0.0007,1.98,0.0097,5.6,0.1891,0.0055,4.0
Ales,2022,12,1.58,0.0009,0.0271,0.0009,1.98,0.0097,5.6,0.1891,0.0062,4.0
Ales,2023,1,0.02,0.0,0.0003,0.0,2.12,0.0104,4.42,0.1492,0.0,4.0
Ales,2023,2,0.02,0.0,0.0003,0.0,2.12,0.0104,4.42,0.1492,0.0,4.0
Ales,2023,3,1.55,0.0009,0.0272,0.0009,2.12,0.0104,4.42,0.1492,0.006,4.0
Ales,2023,4,3.51,0.0021,0.0616,0.002,2.12,0.0104,4.42,0.1492,0.009,4.0
Ales,2023,5,4.38,0.0026,0.0768,0.0025,2.12,0.0104,4.42,0.1492,0.01,4.0
Ales,2023,6,2.21,0.0013,0.0388,0.0013,2.12,0.0104,4.42,0.1492,0.0072,4.0
Ales,2023,7,3.16,0.0018,0.0553,0.0018,2.12,0.0104,4.42,0.1492,0.0084,4.0
Ales,2023,8,10.36,0.0061,0.1815,0.006,2.12,0.0104,4.42,0.1492,0.0154,4.0
