comune,rank,mercato,presenze,quota_pct
Fluminimaggiore,2,Germania,5440,19.94
Fluminimaggiore,3,Francia,2249,8.24
Fluminimaggiore,4,Svizzera (incluso Liechtenstein),1092,4.0
Fluminimaggiore,5,Austria,881,3.23
Flussio,1,Italia,1416,37.28
Flussio,2,Francia,639,16.82
Flussio,3,Germania,518,13.64
Flussio,4,Spagna,200,5.27
Flussio,5,Belgio,160,4.21
Fonni,1,Italia,9497,65.7
Fonni,2,Francia,2817,19.49
Fonni,3,Germania,436,3.02
Fonni,4,Portogallo,221,1.53
Fonni,5,Svizzera (incluso Liechtenstein),206,1.43
Fordongianus,1,Italia,127220,98.77
Fordongianus,2,Germania,346,0.27
Fordongianus,3,Francia,314,0.24
Fordongianus,4,Svizzera (incluso Liechtenstein),164,0.13
Fordongianus,5,Regno Unito,125,0.1
Furtei,1,Italia,285,52.2
Furtei,2,Francia,117,21.43
Furtei,3,Germania,45,8.24
Furtei,4,Spagna,22,4.03
Furtei,5,Paesi Bassi,18,3.3
Gadoni,1,Italia,1738,89.87
Gadoni,2,Germania,48,2.48
Gadoni,3,Regno Unito,42,2.17
Gadoni,4,Paesi Bassi,22,1.14
Gadoni,5,Francia,12,0.62
Gairo,1,Italia,31513,37.12
Gairo,2,Germania,30235,35.62
Gairo,3,Svizzera (incluso Liechtenstein),6709,7.9
Gairo,4,Francia,3589,4.23
Gairo,5,Austria,3398,4.0
Galtellì,1,Italia,16167,32.53
Galtellì,2,Germania,8701,17.51
Galtellì,3,Francia,7046,14.18
Galtellì,4,Spagna,3192,6.42
Galtellì,5,Paesi Bassi,2477,4.98
Gavoi,1,Italia,4463,82.13
Gavoi,2,Francia,201,3.7
Gavoi,3,Germania,163,3.0
Gavoi,4,Danimarca,90,1.66
Gavoi,5,Paesi Bassi,85,1.56
Genoni,1,Italia,196,35.83
Genoni,2,Francia,147,26.87
Genoni,3,Germania,45,8.23
Genoni,4,Spagna,26,4.75
Genoni,5,Svizzera (incluso Liechtenstein),25,4.57
Gergei,1,Italia,347,18.67
Gergei,2,Stati Uniti d'America,294,15.81
Gergei,3,Francia,255,13.72
Gergei,4,Paesi Bassi,200,10.76
Gergei,5,Germania,179,9.63
Gesturi,1,Italia,810,29.86
Gesturi,2,Germania,637,23.48
Gesturi,3,Stati Uniti d'America,208,7.67
Gesturi,4,Francia,195,7.19
Gesturi,5,Paesi Bassi,158,5.82
Ghilarza,1,Italia,6343,64.47
Ghilarza,2,Spagna,723,7.35
Ghilarza,3,Francia,590,6.0
Ghilarza,4,Germania,547,5.56
Ghilarza,5,Romania,443,4.5
Giba,1,Italia,9816,66.47
Giba,2,Germania,1300,8.8
Giba,3,Polonia,1161,7.86
Giba,4,Francia,924,6.26
Giba,5,Spagna,303,2.05
Girasole,1,Italia,21841,60.75
Girasole,2,Germania,5621,15.63
Girasole,3,Francia,1859,5.17
Girasole,4,Svizzera (incluso Liechtenstein),950,2.64
Girasole,5,Polonia,593,1.65
Golfo Aranci,1,Italia,466357,42.84
Golfo Aranci,2,Germania,210672,19.35
Golfo Aranci,3,Svizzera (incluso Liechtenstein),78874,7.25
Golfo Aranci,4,Regno Unito,57485,5.28
Golfo Aranci,5,Francia,47229,4.34
Gonnesa,1,Italia,38383,59.05
Gonnesa,2,Germania,7943,12.22
Gonnesa,3,Francia,5051,7.77
Gonnesa,4,Svizzera (incluso Liechtenstein),2486,3.82
Gonnesa,5,Polonia,1347,2.07
Gonnosfanadiga,1,Italia,2354,40.06
Gonnosfanadiga,2,Germania,901,15.33
Gonnosfanadiga,3,Francia,705,12.0
Gonnosfanadiga,4,Paesi Bassi,327,5.57
Gonnosfanadiga,5,Belgio,275,4.68
Gonnosnò,1,Spagna,46,40.35
Gonnosnò,2,Italia,29,25.44
Gonnosnò,3,Repubblica Ceca,12,10.53
Gonnosnò,4,Germania,9,7.89
Gonnosnò,5,Francia,8,7.02
Gonnostramatza,1,Italia,317,27.73
Gonnostramatza,2,Francia,201,17.59
Gonnostramatza,3,Germania,167,14.61
Gonnostramatza,4,Polonia,122,10.67
Gonnostramatza,5,Ucraina,49,4.29
Guamaggiore,1,Italia,67,100.0
Guasila,1,Italia,163,93.68
Guasila,2,Germania,11,6.32
Guspini,1,Italia,19149,49.21
