"anno","provincia","comune","mese","macro_tipologia","provenienza","arrivi","presenze"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Toscana","25","69"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Umbria","5","7"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Marche","7","14"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Lazio","72","270"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Abruzzo","9","25"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Campania","20","60"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Puglia","27","73"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Basilicata","1","21"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Calabria","2","8"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Sicilia","19","62"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Sardegna","101","148"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Francia","11","19"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Paesi Bassi","6","56"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Germania","6","10"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Portogallo","3","9"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Spagna","8","20"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Belgio","1","2"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Svizzera (incluso Liechtenstein)","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Austria","5","5"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Lettonia","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Lituania","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Polonia","2","14"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Slovacchia","2","4"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Moldavia","1","4"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Slovenia","2","2"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Altri Paesi Europei","2","6"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Altri Paesi Africa Mediterranea","2","4"
